"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category"
"ANKRD28",1,1,-1.05555186483558,-1.05555186483558,1.05555186483558,1.05555186483558,0.00357153406624618,0.00357153406624618,"Cell-type-specific"
"HPGD",1,1,-1.05245859167239,-1.05245859167239,1.05245859167239,1.05245859167239,0.021474232837563,0.021474232837563,"Cell-type-specific"
"DDX58",1,1,-1.04545232939185,-1.04545232939185,1.04545232939185,1.04545232939185,0.0470797696404017,0.0470797696404017,"Cell-type-specific"
"FAM102A",1,1,-1.04175260193592,-1.04175260193592,1.04175260193592,1.04175260193592,0.000879931649067492,0.000879931649067492,"Cell-type-specific"
"PDE3B",1,1,1.04068929555878,1.04068929555878,1.04068929555878,1.04068929555878,0.0422365764130418,0.0422365764130418,"Cell-type-specific"
"SNX9",1,1,1.03809270909189,1.03809270909189,1.03809270909189,1.03809270909189,0.000212170527111171,0.000212170527111171,"Cell-type-specific"
"RNASE6",1,2,-1.03045395104759,-1.03045395104759,1.03045395104759,1.0582201396968,0.000000322434375106772,0.000000545913290807965,"Cell-type-specific"
"VCL",1,1,1.02588038816939,1.02588038816939,1.02588038816939,1.02588038816939,0.0000471431152024904,0.0000471431152024904,"Cell-type-specific"
"DEPTOR",1,1,-1.02217197356517,-1.02217197356517,1.02217197356517,1.02217197356517,0.000763202817999334,0.000763202817999334,"Cell-type-specific"
"KLRF1",1,1,-1.01803501041235,-1.01803501041235,1.01803501041235,1.01803501041235,0.0000501994586603474,0.0000501994586603474,"Cell-type-specific"
"HMGB2",1,1,-1.01753648226898,-1.01753648226898,1.01753648226898,1.01753648226898,0.0000000000025093748467407,0.0000000000025093748467407,"Cell-type-specific"
"TNFSF8",1,1,-1.01462215427214,-1.01462215427214,1.01462215427214,1.01462215427214,0.00436242423437758,0.00436242423437758,"Cell-type-specific"
"NINJ1",1,2,-0.00861064725971006,-0.00861064725971006,1.00963295658723,1.01824360384694,0.00206911591458075,0.00629415188381123,"Cell-type-specific"
"BCL2L11",1,1,-1.00213603014349,-1.00213603014349,1.00213603014349,1.00213603014349,0.011292402150492,0.011292402150492,"Cell-type-specific"
"IER2",1,1,0.999339722097118,0.999339722097118,0.999339722097118,0.999339722097118,0.00000183648526622755,0.00000183648526622755,"Cell-type-specific"
"FAM177A1",1,1,-0.999046491025204,-0.999046491025204,0.999046491025204,0.999046491025204,0.000000141994398760428,0.000000141994398760428,"Cell-type-specific"
"ETV3",1,1,0.995818049507502,0.995818049507502,0.995818049507502,0.995818049507502,0.0300683647920304,0.0300683647920304,"Cell-type-specific"
"CMTM5",1,1,0.995109825846514,0.995109825846514,0.995109825846514,0.995109825846514,0.0204668825898405,0.0204668825898405,"Cell-type-specific"
"LINC00877",1,1,0.982882495189104,0.982882495189104,0.982882495189104,0.982882495189104,0.00696894755461758,0.00696894755461758,"Cell-type-specific"
"CCR2",1,1,-0.982396722843865,-0.982396722843865,0.982396722843865,0.982396722843865,0.0000000000188676057014586,0.0000000000188676057014586,"Cell-type-specific"
"CRK",1,1,-0.981644322872445,-0.981644322872445,0.981644322872445,0.981644322872445,0.00016357110700929,0.00016357110700929,"Cell-type-specific"
"PDE4B",1,1,-0.980256034375757,-0.980256034375757,0.980256034375757,0.980256034375757,0.0000631406193308024,0.0000631406193308024,"Cell-type-specific"
"IFI30",1,1,-0.978441800172383,-0.978441800172383,0.978441800172383,0.978441800172383,0.00840842987327736,0.00840842987327736,"Cell-type-specific"
"NEDD9",1,1,-0.977631600662605,-0.977631600662605,0.977631600662605,0.977631600662605,0.00460665827583212,0.00460665827583212,"Cell-type-specific"
"ARL2",1,1,-0.977226297808545,-0.977226297808545,0.977226297808545,0.977226297808545,0.0441096756651901,0.0441096756651901,"Cell-type-specific"
"ZNF267",1,1,0.975137334817538,0.975137334817538,0.975137334817538,0.975137334817538,0.0491077506321645,0.0491077506321645,"Cell-type-specific"
"NUDT16",1,1,-0.972324287230312,-0.972324287230312,0.972324287230312,0.972324287230312,0.000392516331730674,0.000392516331730674,"Cell-type-specific"
"APOBEC3A",1,1,0.970452211269902,0.970452211269902,0.970452211269902,0.970452211269902,0.00116848355826576,0.00116848355826576,"Cell-type-specific"
"PTGS2",1,2,0.397481394088156,0.397481394088156,0.965918004573314,1.36339939866147,0.000000000000229446660060463,0.000141301103763244,"Cell-type-specific"
"AL121944.1",1,1,-0.961571463315954,-0.961571463315954,0.961571463315954,0.961571463315954,0.0142805889994848,0.0142805889994848,"Cell-type-specific"
"PPP1R10",1,1,-0.957363421990421,-0.957363421990421,0.957363421990421,0.957363421990421,0.032265636784213,0.032265636784213,"Cell-type-specific"
"JDP2",1,2,-0.952878051671596,-0.952878051671596,0.952878051671596,1.35448478035645,0.0000000000000000669100957345756,0.00620468832708063,"Cell-type-specific"
"PDE4D",1,1,0.951515324694384,0.951515324694384,0.951515324694384,0.951515324694384,0.000100957025399528,0.000100957025399528,"Cell-type-specific"
"KIAA0040",1,1,-0.950482146464414,-0.950482146464414,0.950482146464414,0.950482146464414,0.00000000157392235478781,0.00000000157392235478781,"Cell-type-specific"
"AIM2",1,1,-0.948878747240153,-0.948878747240153,0.948878747240153,0.948878747240153,0.00000519000847195242,0.00000519000847195242,"Cell-type-specific"
"CAVIN2",1,1,0.948634634685583,0.948634634685583,0.948634634685583,0.948634634685583,0.00000544864097261364,0.00000544864097261364,"Cell-type-specific"
"EGLN2",1,1,-0.947605530864793,-0.947605530864793,0.947605530864793,0.947605530864793,0.0322207395181891,0.0322207395181891,"Cell-type-specific"
"PTPN18",1,1,-0.945160048057404,-0.945160048057404,0.945160048057404,0.945160048057404,0.000100045568289747,0.000100045568289747,"Cell-type-specific"
