"Sample","Condition","Cell_Type","n","Percentage"
"N6a","SNMG_Pre","Progenitors",8,0.0774968516904001
"N6a","SNMG_Pre","T cells",1732,16.7780683909716
"N6b","SNMG_Post","B cells",625,5.71506949524506
"N6b","SNMG_Post","Basophils",32,0.292611558156547
"N6b","SNMG_Post","CD4+ T cells",3025,27.6609363569861
"N6b","SNMG_Post","CD8+ T cells",589,5.38588149231895
"N6b","SNMG_Post","Dendritic cells",79,0.722384784198976
"N6b","SNMG_Post","Monocytes",2508,22.9334308705194
"N6b","SNMG_Post","NK cells",1774,16.2216532553036
"N6b","SNMG_Post","Neutrophils",141,1.28931967812729
"N6b","SNMG_Post","Progenitors",1,0.0091441111923921
"N6b","SNMG_Post","T cells",2162,19.7695683979517
"N7a","SNMG_Pre","B cells",649,5.60497452284308
"N7a","SNMG_Pre","Basophils",15,0.129544865705156
"N7a","SNMG_Pre","CD4+ T cells",2396,20.6926332153036
"N7a","SNMG_Pre","CD8+ T cells",1052,9.0854132481216
"N7a","SNMG_Pre","Dendritic cells",53,0.457725192158217
"N7a","SNMG_Pre","Monocytes",2764,23.8708005872701
"N7a","SNMG_Pre","NK cells",2935,25.3476120563088
"N7a","SNMG_Pre","Neutrophils",2,0.0172726487606875
"N7a","SNMG_Pre","Progenitors",11,0.094999568183781
"N7a","SNMG_Pre","T cells",1702,14.699024095345
"N7b","SNMG_Post","B cells",651,5.47933675616531
"N7b","SNMG_Post","Basophils",14,0.117835199057318
"N7b","SNMG_Post","CD4+ T cells",2016,16.9682686642538
"N7b","SNMG_Post","CD8+ T cells",959,8.07171113542631
"N7b","SNMG_Post","Dendritic cells",55,0.462923996296608
"N7b","SNMG_Post","Monocytes",4048,34.0712061274304
"N7b","SNMG_Post","NK cells",2668,22.4560222203518
"N7b","SNMG_Post","Neutrophils",13,0.109418399124653
"N7b","SNMG_Post","Progenitors",11,0.0925847992593216
"N7b","SNMG_Post","T cells",1446,12.1706927026345
"N8a","SNMG_Pre","B cells",471,4.04430705821741
"N8a","SNMG_Pre","Basophils",88,0.755624248669071
"N8a","SNMG_Pre","CD4+ T cells",2951,25.3391722479821
"N8a","SNMG_Pre","CD8+ T cells",685,5.88184784475356
"N8a","SNMG_Pre","Dendritic cells",113,0.970290228404602
"N8a","SNMG_Pre","Monocytes",3275,28.1212433453546
"N8a","SNMG_Pre","NK cells",2074,17.8086896788597
"N8a","SNMG_Pre","Neutrophils",359,3.08260346900223
