"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category"
"ZBTB16",7,2,-2.11699661202973,-2.10131732494514,2.11699661202973,3.47737912862193,0.00000000000000000000000000000000000019020362682923,0.000000647607029996655,"Highly recurrent (5+)"
"TCL1A",1,1,0.650574352130681,0.650574352130681,0.650574352130681,0.650574352130681,0.0000000000000675896461922619,0.0000000000000675896461922619,"Cell-type-specific"
"MYADM",3,2,-0.291499750332043,-0.783288302661414,1.87794245240031,2.55698171769847,0.00000000000103934370244202,0.000330030668325298,"Moderately recurrent (3-4)"
"LGALS1",2,2,-1.08111829926606,-1.08111829926606,1.08111829926606,1.44809994625207,0.00000000000115772731209551,0.00357306080968881,"Shared across 2 cell types"
"CRIP1",1,1,-0.935332491386491,-0.935332491386491,0.935332491386491,0.935332491386491,0.00000000000120144242622682,0.00000000000120144242622682,"Cell-type-specific"
"MIDN",2,2,-1.42221065496332,-1.42221065496332,1.42221065496332,2.09533052870504,0.0000000000024329897678452,0.00431472132059486,"Shared across 2 cell types"
"AHNAK",1,1,-0.84752011813123,-0.84752011813123,0.84752011813123,0.84752011813123,0.0000000000123604278350375,0.0000000000123604278350375,"Cell-type-specific"
"VIM",1,1,-0.711955567109558,-0.711955567109558,0.711955567109558,0.711955567109558,0.0000000000286269397385391,0.0000000000286269397385391,"Cell-type-specific"
"DAAM1",1,1,-1.33799224781457,-1.33799224781457,1.33799224781457,1.33799224781457,0.000000000127153693305809,0.000000000127153693305809,"Cell-type-specific"
"MEF2C",1,1,0.577723809358074,0.577723809358074,0.577723809358074,0.577723809358074,0.000000000151281895170292,0.000000000151281895170292,"Cell-type-specific"
"FOXP1",1,1,0.587405781275423,0.587405781275423,0.587405781275423,0.587405781275423,0.000000000285866062135883,0.000000000285866062135883,"Cell-type-specific"
