"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"LYN",0.000000114998898158878,0.629173584277951,0.69,0.663,0.00420907467151311,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"TLN1",0.000000127888903733951,0.874858556179777,0.839,0.765,0.00468086176556635,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"MYL4",0.000000309784373037623,3.75838555409617,0.111,0.041,0.01133841783755,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"OST4",0.000000312873493608046,0.724929050400774,0.922,0.874,0.0114514827395481,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"TMEM40",0.000000331061646636942,1.18817094138888,0.203,0.104,0.0121171873285587,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"EGR1",0.000000439273900486621,1.53645335310307,0.293,0.194,0.0160778640317108,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"RGS18",0.000000502772254097171,1.37283458389861,0.575,0.484,0.0184019672722106,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"RAP1B",0.000000539370375998442,0.754548384316711,0.858,0.755,0.019741495131919,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"CMTM5",0.00000055918916395291,0.995109825846514,0.222,0.122,0.0204668825898405,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"MYL9",0.000000653215962325292,0.600067598387361,0.218,0.114,0.023908357437068,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"PPDPF",0.000000675127192245739,0.837652899089497,0.516,0.399,0.0247103303633863,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"ITGB3",0.00000081388856495892,1.39066298450494,0.146,0.065,0.0297891353660614,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"ADAR",0.000000844914398689478,0.546103167261862,0.542,0.456,0.0309247119064336,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
