"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"FKBP5",0.000000000122364299607742,-1.89409031998492,0.147,0.327,0.00000447865572994295,"Basophils","Healthy_vs_SNMG_Pre","Downregulated"
"FOSB",0.0000000000000000000000000846506960044806,-5.17225205991058,0.012,0.167,0.00000000000000000000309830012445999,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"FOS",0.000000000000000000299351626975664,-3.12854717833595,0.092,0.26,0.0000000000000109565688989363,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"PPP1R15A",0.0000000000000118986965463392,-2.94094778284452,0.067,0.197,0.000000000435504192292563,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"NR4A2",0.0000000000168570502602817,-2.8107819507816,0.042,0.14,0.000000616984896576571,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"JUN",0.0000000000000340421858712044,-2.76340151719284,0.159,0.303,0.00000000124597804507195,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"AREG",0.0000000000577423404215082,-2.49363174469353,0.055,0.157,0.00000211342740176762,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"ZBTB16",0.000000000000000393682163880113,-2.38786316256401,0.027,0.146,0.000000000014409160880176,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"DUSP1",0.000000000000667293884601323,-1.83760515590985,0.217,0.36,0.000000024423623470293,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"FBLN5",0.0000000961879243826036,-1.33723391765448,0.066,0.15,0.00352057422032767,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"YPEL5",0.000000150841379989691,-1.24543555942566,0.281,0.376,0.00552094534900267,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"PTGER4",0.00000130830850848747,-1.24214572693917,0.135,0.225,0.0478853997191499,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"TNFAIP3",0.00000000000000295608259481879,-1.20303518846202,0.505,0.621,0.000000000108195579052963,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"FKBP5",0.00000000000000000000000123368003733504,-1.15824964868923,0.303,0.548,0.0000000000000000000451539230464999,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"DDIT4",0.0000000000000542290839266749,-1.089767128913,0.343,0.504,0.00000000198483870080023,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"TNFSF8",0.000000119188662451233,-1.01462215427214,0.129,0.235,0.00436242423437758,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"HBA1",0.000000346740705935233,-1.78074146030801,0.052,0.121,0.0126910565779354,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
