"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"METRNL",0.00000000000000000651168761414496,1.15297227860567,0.465,0.258,0.00000000000023833427836532,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"ZNF267",0.00000134170516193996,0.975137334817538,0.186,0.097,0.0491077506321645,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"TWISTNB",0.000000319666060941834,0.938522220165634,0.217,0.117,0.0117000974965321,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"P2RY8",0.000000000000283999616303692,0.92168014896559,0.453,0.286,0.0000000103946699563314,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"CEBPZ",0.000000000268327955167592,0.889870605539711,0.375,0.231,0.00000982107148708905,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"MAP3K8",0.0000000916835783160997,0.886444893650018,0.442,0.325,0.00335571064994757,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"REL",0.00000000409014812324925,0.800162829888075,0.369,0.235,0.000149703511459046,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"IRF2BP2",0.00000000133676303372746,0.794595313137488,0.389,0.251,0.0000489268637974588,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"TNFAIP3",0.00000000000000000000655235733763108,0.79184307447342,0.771,0.623,0.000000000000000239822830914635,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"AC020916.1",0.00000000000088375039939166,3.34485548723231,0.15,0.034,0.0000000323461483681341,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"FOSB",0.000000000000195722174222829,2.63129884289454,0.238,0.092,0.00000000716362729872976,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"NR4A2",0.000000000694181235846599,2.38963974139439,0.219,0.099,0.0000254077274132214,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"CDKN1A",0.00000000113651113770739,2.36207196763858,0.147,0.045,0.0000415974441512283,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"CSRNP1",0.0000000102403968667822,1.90723819017898,0.167,0.065,0.000374808765721094,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
